CC,CCC,CCCC,CCCC_abs,CCC_abs,CC_abs,CH,CH_abs,HCC,HCCC,HCCC_abs,HCC_abs,HOC,HOCC,HOCC_abs,HOC_abs,OC,OCC,OCCC,OCCC_abs,OCC_abs,OCO,OCOC,OCOC_abs,OCO_abs,OC_abs,OH,OH_abs,sf,sigma,intensity,structure,freq
1.0,1.0,0.0,0.0,27.0,53.0,0.0,0.0,9.0,0.0,0.0,17.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2.0,,,0.0016014099976940624,12.138752835604464,20.6525,benzil,1590.284424216
0.0,2.0,0.0,0.0,14.0,18.0,0.0,0.0,-27.0,0.0,0.0,71.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,7.270523283255393e-05,23.999819614499454,1.3987,benzil,1494.2446467119998
-6.0,10.0,0.0,0.0,12.0,20.0,0.0,0.0,41.0,0.0,0.0,67.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0011468606225241405,10.083846596001308,0.8336,benzil,1494.156554784
-9.0,7.0,0.0,0.0,13.0,31.0,0.0,0.0,-1.0,0.0,0.0,53.0,,,,,2.0,0.0,0.0,0.0,0.0,,,,,2.0,,,0.00037990718399375845,47.22461838080928,0.5221,benzil,1452.009461232
0.0,-1.0,0.0,0.0,13.0,32.0,0.0,0.0,-30.0,0.0,0.0,56.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0011019179112203002,10.383887738703407,33.2729,benzil,1451.206845888
0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,10.0,0.0,0.0,38.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.002784020984064301,18.079601909876136,10.1832,benzil,1338.2632062
0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,-4.0,0.0,0.0,34.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0018553753304525497,30.780477984484726,1.9898,benzil,1338.1849022640001
8.0,-3.0,0.0,0.0,11.0,32.0,0.0,0.0,6.0,0.0,0.0,52.0,,,,,0.0,4.0,0.0,0.0,4.0,,,,,0.0,,,0.00058665949852257,31.881540086186675,11.0309,benzil,1321.9759875119998
0.0,0.0,0.0,0.0,8.0,40.0,0.0,0.0,-2.0,0.0,0.0,54.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0019838886486192495,43.26503722149512,8.8722,benzil,1316.788351752
0.0,1.0,0.0,0.0,5.0,64.0,0.0,0.0,12.0,0.0,0.0,16.0,,,,,0.0,8.0,0.0,2.0,8.0,,,,,0.0,,,0.001072770926386905,18.332598036774076,24.3988,benzil,1291.290632592
-1.0,-1.0,0.0,0.0,15.0,61.0,0.0,0.0,-22.0,0.0,0.0,22.0,,,,,0.0,0.0,0.0,0.0,2.0,,,,,0.0,,,0.02388970841267533,50.78046222108643,205.3908,benzil,1203.5902242720001
10.0,2.0,0.0,0.0,2.0,22.0,0.0,0.0,35.0,0.0,0.0,71.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.003148278250305736,30.786473128953983,1.339,benzil,1181.9489739599999
